Neliöt,Hinta,Kaupunginosa,Rakennusvuosi,Tyyppi
42.0,228000,messukylä,2020,Kerrostalo
45.0,165000,järvensivu,1962,Kerrostalo
48.0,95000,kalkku,1988,Kerrostalo
87.0,290050,tesoma,2021,Kerrostalo
27.0,117900,tesoma,2021,Kerrostalo
60.0,205100,tesoma,2021,Kerrostalo
52.5,129900,linnainmaa,1995,Kerrostalo
41.0,180000,keskusta,1929,Kerrostalo
92.5,129000,peltolammi,1972,Kerrostalo
53.0,255000,keskusta,1940,Kerrostalo
94.5,109000,hervanta,1976,Kerrostalo
64.0,137000,rantaperkiö,1964,Kerrostalo
25.5,109000,haukiluoma,2017,Kerrostalo
45.5,198000,niemenranta,2018,Kerrostalo
20.0,79000,juhannuskylä,1898,Kerrostalo
45.5,168500,hervanta,2018,Kerrostalo
66.0,169000,janka,2005,Kerrostalo
59.5,177000,lintulampi,1991,Rivitalo
54.0,209000,kaleva,1942,Kerrostalo
50.5,109000,kaukajärvi,1968,Kerrostalo
62.0,138000,lielahti,1974,Kerrostalo
62.5,209000,kaleva,1956,Kerrostalo
83.0,188000,tohloppi,1963,Omakotitalo
43.0,163000,niemenranta,2020,Kerrostalo
100.5,389900,vuores,2022,Kerrostalo
97.5,399900,vuores,2022,Kerrostalo
53.5,245900,vuores,2022,Kerrostalo
48.5,225000,kaleva,2018,Kerrostalo
27.5,138000,lentävänniemi,2018,Kerrostalo
68.0,115000,rahola,1966,Kerrostalo
75.5,79000,hervanta,1974,Kerrostalo
47.5,189288,härmälä,2021,Kerrostalo
52.0,204200,hervanta,2021,Kerrostalo
28.5,199500,tammela,2018,Kerrostalo
123.0,438000,olkahinen,1989,Paritalo
51.5,22378,vuores,2015,Kerrostalo
77.0,320000,keskusta,1957,Kerrostalo
32.0,147000,kaleva,1960,Kerrostalo
21.0,103900,annala,2021,Kerrostalo
116.5,448000,tahmela,1986,Rivitalo
23.0,115000,tesoma,2018,Kerrostalo
65.0,275000,keskusta,1929,Kerrostalo
36.5,147000,niemenranta,2017,Kerrostalo
25.0,139000,niemenranta,2019,Kerrostalo
113.5,439000,onkiniemi,2006,Kerrostalo
57.5,134000,holvasti,1972,Rivitalo
137.5,290000,keskusta,2017,Kerrostalo
