Neliöt,Hinta,Kaupunginosa,Rakennusvuosi,Tyyppi
76.5,108000,hervanta,1974,Kerrostalo
116.5,990000,keskusta,2018,Kerrostalo
32.0,154900,vuores,2021,Kerrostalo
52.5,125000,hervanta,1985,Kerrostalo
23.5,97000,annala,2017,Kerrostalo
80.5,127000,tesoma,1967,Kerrostalo
57.5,74800,hervanta,1974,Kerrostalo
39.0,239900,keskusta,2022,Kerrostalo
57.0,167000,kaukajärvi,2004,Kerrostalo
23.0,108000,vuores,2016,Kerrostalo
55.0,202800,vuores,2021,Kerrostalo
61.5,224000,vuores,2021,Kerrostalo
37.0,255900,keskusta,2022,Kerrostalo
37.0,258900,keskusta,2022,Kerrostalo
34.0,248900,keskusta,2022,Kerrostalo
40.0,259900,keskusta,2022,Kerrostalo
54.5,235000,keskusta,1966,Kerrostalo
45.5,155000,rantakaarila,1976,Rivitalo
54.0,170000,rahola,2014,Kerrostalo
184.0,989000,keskusta,1928,Kerrostalo
44.0,125000,janka,1995,Kerrostalo
53.5,125000,lielahti,1990,Kerrostalo
55.0,114000,rantaperkiö,1960,Kerrostalo
34.0,139000,niemenranta,2018,Luhtitalo
73.0,96000,tesoma,1969,Kerrostalo
22.0,116800,vuores,2021,Kerrostalo
26.0,119000,pyynikki,1936,Kerrostalo
50.0,168000,kaleva,1965,Kerrostalo
95.0,298000,annala,2012,Paritalo
55.0,209000,kaleva,1964,Kerrostalo
90.0,314000,tahmela,1910,Omakotitalo
108.0,945000,keskusta,2018,Kerrostalo
55.0,189000,pyynikki,1952,Kerrostalo
58.0,245900,vuores,2022,Kerrostalo
97.5,389900,vuores,2022,Kerrostalo
36.0,124000,epilä,1994,Luhtitalo
167.0,319000,leinola,1991,Omakotitalo
144.0,597000,keskusta,1928,Kerrostalo
23.5,109000,haukiluoma,2018,Kerrostalo
23.0,132000,härmälänranta,2018,Kerrostalo
76.0,124000,tesoma,1965,Kerrostalo
63.0,118000,kaukajärvi,1989,Kerrostalo
30.0,135000,tammela,1970,Kerrostalo
85.0,485000,keskusta,1957,Kerrostalo
73.0,145000,hervanta,1976,Rivitalo
46.0,169000,kaleva,1965,Kerrostalo
88.5,338000,tammela,1982,Kerrostalo
60.5,79900,hervanta,1974,Kerrostalo
50.0,75000,kalkku,1947,Kerrostalo
113.5,659000,tammela,2022,Kerrostalo
28.0,193000,tammela,2022,Kerrostalo
82.0,419000,tammela,2022,Kerrostalo
111.5,641000,tammela,2022,Kerrostalo
66.5,359000,tammela,2022,Kerrostalo
28.0,187000,tammela,2022,Kerrostalo
29.0,195000,tammela,2022,Kerrostalo
29.0,189000,tammela,2022,Kerrostalo
82.0,399000,tammela,2022,Kerrostalo
79.0,385000,tammela,2022,Kerrostalo
82.0,375000,tammela,2022,Kerrostalo
28.0,182000,tammela,2022,Kerrostalo
108.5,799000,tammela,2022,Kerrostalo
128.0,859000,tammela,2022,Kerrostalo
51.5,265000,tammela,2022,Kerrostalo
76.5,529000,tammela,2022,Kerrostalo
93.5,619000,tammela,2022,Kerrostalo
28.5,211000,tammela,2022,Kerrostalo
28.0,209000,tammela,2022,Kerrostalo
93.0,529000,tammela,2022,Kerrostalo
45.0,296000,tammela,2022,Kerrostalo
28.5,204000,tammela,2022,Kerrostalo
28.5,204000,tammela,2022,Kerrostalo
79.5,479000,tammela,2022,Kerrostalo
93.0,489000,tammela,2022,Kerrostalo
45.0,282000,tammela,2022,Kerrostalo
28.0,196000,tammela,2022,Kerrostalo
28.5,199000,tammela,2022,Kerrostalo
28.5,199000,tammela,2022,Kerrostalo
79.5,429000,tammela,2022,Kerrostalo
45.0,271000,tammela,2022,Kerrostalo
28.5,194000,tammela,2022,Kerrostalo
62.5,329000,tammela,2022,Kerrostalo
93.0,469000,tammela,2022,Kerrostalo
28.0,190000,tammela,2022,Kerrostalo
45.0,259000,tammela,2022,Kerrostalo
54.0,262000,tammela,2022,Kerrostalo
28.5,189000,tammela,2022,Kerrostalo
28.5,184000,tammela,2022,Kerrostalo
28.5,189000,tammela,2022,Kerrostalo
54.0,277000,tammela,2022,Kerrostalo
28.5,184000,tammela,2022,Kerrostalo
53.5,259000,tammela,2022,Kerrostalo
36.0,194000,tammela,2022,Kerrostalo
71.0,209000,epilä,2007,Kerrostalo
107.0,420000,armonkallio,1963,Kerrostalo
106.0,389000,villilä,2004,Rivitalo
43.5,216000,kaleva,2018,Kerrostalo
26.5,155000,tammela,1975,Kerrostalo
90.0,259000,levonmäki,2002,Rivitalo
99.0,399000,tammela,1920,Kerrostalo
55.5,130300,kaukajärvi,1971,Kerrostalo
58.5,125000,palokallio,1992,Kerrostalo
110.0,530000,tahmela,1937,Omakotitalo
124.0,475000,pyynikki,1925,Kerrostalo
38.0,201400,hatanpää,2022,Kerrostalo
28.0,176700,hatanpää,2022,Kerrostalo
60.0,207100,tesoma,2021,Kerrostalo
28.0,159700,hatanpää,2022,Kerrostalo
36.0,140700,tesoma,2021,Kerrostalo
27.0,115600,tesoma,2021,Kerrostalo
36.5,201300,hatanpää,2022,Kerrostalo
36.5,197400,hatanpää,2022,Kerrostalo
87.0,282000,armonkallio,1956,Kerrostalo
51.5,92500,annala,1975,Kerrostalo
75.5,374800,niemenranta,2022,Kerrostalo
117.0,639100,niemenranta,2022,Kerrostalo
64.5,306100,niemenranta,2022,Kerrostalo
65.0,308100,niemenranta,2022,Kerrostalo
90.5,470300,niemenranta,2022,Kerrostalo
47.0,235000,niemenranta,2022,Kerrostalo
39.0,201100,niemenranta,2022,Kerrostalo
75.5,360500,niemenranta,2022,Kerrostalo
55.5,278700,niemenranta,2022,Kerrostalo
39.0,196100,niemenranta,2022,Kerrostalo
64.5,299100,niemenranta,2022,Kerrostalo
55.5,270700,niemenranta,2022,Kerrostalo
47.0,230000,niemenranta,2022,Kerrostalo
90.5,450400,niemenranta,2022,Kerrostalo
39.0,191100,niemenranta,2022,Kerrostalo
75.5,353500,niemenranta,2022,Kerrostalo
90.5,440400,niemenranta,2022,Kerrostalo
47.0,225000,niemenranta,2022,Kerrostalo
55.5,264700,niemenranta,2022,Kerrostalo
55.5,259700,niemenranta,2022,Kerrostalo
75.5,346500,niemenranta,2022,Kerrostalo
47.0,220000,niemenranta,2022,Kerrostalo
64.5,285100,niemenranta,2022,Kerrostalo
39.0,186100,niemenranta,2022,Kerrostalo
90.5,430300,niemenranta,2022,Kerrostalo
64.5,292100,niemenranta,2022,Kerrostalo
55.5,249700,niemenranta,2022,Kerrostalo
75.5,336400,niemenranta,2022,Kerrostalo
90.5,420400,niemenranta,2022,Kerrostalo
64.5,273100,niemenranta,2022,Kerrostalo
90.5,398000,niemenranta,2022,Kerrostalo
39.0,181100,niemenranta,2022,Kerrostalo
47.0,215000,niemenranta,2022,Kerrostalo
